name,incl,q,r1,r2,ecc,T2/T1,R2
LC-MJDJ,82.2502429,0.551326068,0.339856672,0.058965457,0.020960713,1.165442759,0.9989
LC-MRFS,86.55025482,0.536894072,0.328108553,0.220189162,0.098211933,0.874484813,0.9995
LC-MX8X,81.37014585,0.653037953,0.380408913,0.092419234,0.015627285,0.992038839,0.9997
LC-N8Z2,78.94696267,0.261644367,0.372700688,0.06305023,0.02251595,0.585942628,0.9987
LC-NCBW,87.38865236,0.543652915,0.348359829,0.21848067,0.004053683,0.929100031,0.9999
LC-NDPB,84.70515472,0.064716842,0.341885886,0.094642748,0.048732305,0.781090803,0.9985
LC-NL8U,84.88739213,0.314990581,0.354339051,0.194533771,0.024241465,0.977755436,0.9994
LC-NLY7,86.04673208,0.233345989,0.380261538,0.262382184,0.059577573,0.662101394,0.9994
LC-NNIN,89.7229628,0.318127591,0.214335365,0.153480535,0.013773083,0.847489402,0.9999
LC-NPZC,81.02015734,0.677890415,0.31289623,0.103853359,0.047563474,0.89978788,0.9993
LC-O1MS,85.25892766,0.319327475,0.398526082,0.137675995,0.104862093,0.68038318,0.9995
LC-O5UB,84.89393384,0.126345697,0.399523003,0.088656412,0.105015444,1.126465981,0.9978
LC-ODR8,86.15727326,0.487994811,0.289568027,0.095349565,0.00161258,0.682007356,0.9995
LC-OPYR,79.2968373,0.514789434,0.327527716,0.063496657,0.04631506,0.870190236,0.9977
LC-OWYN,71.68052239,0.017767812,0.426311763,0.099765519,0.060549057,0.771227404,0.9969
LC-OZII,85.34819884,0.16851939,0.353496742,0.189937423,0.055552847,0.862624208,0.999
LC-P55R,84.32206977,0.289720989,0.326378648,0.199945471,0.143459205,0.902797169,0.9996
LC-P6X9,84.19064805,0.469592188,0.408466448,0.198715987,0.062621681,0.78721789,0.9997
LC-P7SX,82.48281878,0.460090724,0.357747947,0.101905831,0.032325207,0.693217525,0.9992
LC-PD51,80.02421081,0.718491213,0.298168346,0.098213205,0.008595681,0.718089762,0.9994
