name,T1,T2,incl,q,r1,r2,ecc,R2
LC-4Q5P,9427.392721,6084.928385,84.93889783,0.601854813,0.351331398,0.138984018,0.009025584,0.9998
LC-4RCO,11840.6289,6510.845095,84.05350967,0.144298559,0.350243178,0.116651118,0.073694442,0.9988
LC-4TG4,10577.45987,11639.59117,89.32762792,0.23287498,0.270509547,0.181127545,0.010785727,0.9998
LC-4VEC,5800.277915,6597.774936,85.20916446,0.614915996,0.245353438,0.084540072,0.093583057,0.9994
LC-4X6D,4288.361662,4487.498201,83.54370237,0.20680154,0.403922984,0.116212394,0.09654258,0.9985
LC-4YQ8,8179.166492,6084.082552,88.61249359,0.077075784,0.420403086,0.121410406,0.08044483,0.9983
LC-4ZEC,7348.82919,6594.375284,86.63456866,0.725657214,0.302178172,0.183949555,0.039506337,0.9997
LC-50F3,3607.591528,3696.142255,84.41501455,0.073742193,0.33101354,0.086640346,0.075618733,0.9985
LC-57E0,7149.622639,5711.295352,83.99852969,0.503658484,0.332197684,0.117266448,0.120203428,0.9994
LC-58ER,12447.61936,10830.61769,79.84370496,0.095154821,0.412835701,0.139365512,0.168772844,0.9985
LC-59JV,12358.76041,9903.491069,82.08341738,0.376135451,0.403884853,0.105479417,0.024340879,0.9995
LC-5B0W,5408.357861,3848.445648,84.85503455,0.714531399,0.300684693,0.173916898,0.008078191,0.9993
LC-23DW,8633.049096,6451.537629,83.62485937,0.645556184,0.273048373,0.11182695,0.049875496,0.9992
LC-3U8U,4249.569729,4848.799544,86.88115361,0.729167435,0.255241958,0.073232373,0.090069174,0.9984
LC-5CP3,5070.193042,5911.1438,86.70057659,0.171947231,0.37289492,0.139376778,0.070406597,0.9988
LC-7BW8,4261.346231,4484.131151,86.16470087,0.893570611,0.26013363,0.146824495,0.134000801,0.9994
LC-99FG,7910.732237,9260.318984,87.34566477,0.638973686,0.377026741,0.276764682,0.057334097,0.9998
LC-CFGC,4224.478642,3859.608156,75.16687764,0.49574414,0.381413416,0.042117749,0.031116985,0.9987
LC-DXIF,8554.714485,6728.820686,82.85936745,0.711627364,0.299893329,0.145071138,0.011832508,0.9997
LC-FJOW,10031.9859,9784.451948,89.45103744,0.35971024,0.327665878,0.214938542,0.007581134,0.9998
LC-HY02,11542.506,7867.242287,86.7682712,0.74618362,0.294594566,0.153014978,0.010964722,0.9998
LC-JX0U,8832.748303,6729.484369,85.92258866,0.825271215,0.249236614,0.095934118,0.016959779,0.9991
LC-LQDA,5831.977798,4496.007434,85.14476588,0.314698384,0.360820007,0.225918248,0.050181825,0.9998
LC-NZ8X,4141.747959,4493.4259,89.43126609,0.119465957,0.426873225,0.188439011,0.146104113,0.999
LC-RME4,6332.655228,4629.168355,84.1097956,0.093731508,0.254188067,0.127813449,0.071806636,0.9995
LC-U2WI,8161.726253,7309.747634,81.68325287,0.004205534,0.337010233,0.074109235,0.103605482,0.9974
LC-XEI3,8638.183536,6689.537299,77.35311829,0.105004827,0.509165433,0.162078757,0.029813852,0.9993
LC-S6E4,10070.49552,7998.014938,84.05772396,0.174158741,0.294941673,0.171143876,0.017017237,0.9996
LC-S7YX,6290.223651,6348.875693,89.33905034,0.11997863,0.232879017,0.101090623,0.035336153,0.9989
LC-S8GS,7823.247415,5186.850227,80.01143462,0.147717813,0.481480611,0.200986455,0.022865451,0.9997
LC-S9WP,4101.637912,4143.748443,86.86059983,0.238111971,0.400776212,0.139983,0.06766129,0.9987
LC-SC3J,6280.769111,5750.166521,82.55041017,0.441547293,0.328663113,0.078488641,0.043224671,0.9987
LC-SDLZ,8876.717966,6978.182414,80.52559473,0.047729485,0.34661572,0.119074511,0.033277793,0.9983
LC-SIOA,12483.1445,11420.36522,82.99055578,0.525838712,0.332814927,0.068716055,0.038552789,0.9989
LC-SJUH,4352.689215,4763.315482,88.01121234,0.608976601,0.357790941,0.229875057,0.012913195,0.9996
LC-SPRO,7407.310847,4848.011188,84.89053468,0.06940837,0.283397225,0.150038281,0.149990932,0.9997
LC-SSIV,10834.75771,9340.748069,78.73157404,0.838670352,0.344859258,0.042108261,0.107069081,0.9994
LC-TAXD,5257.958115,4827.578261,86.68672332,0.368082285,0.337567365,0.069774367,0.067742476,0.9978
LC-TJCS,9619.990056,8965.619001,87.13206709,0.229146003,0.296264008,0.169960018,0.02149549,0.9998
LC-TZ1C,8422.734349,4331.593345,85.27923464,0.064669953,0.242797651,0.116396822,0.031534334,0.9993
LC-U118,4660.003168,5181.862844,84.34483576,0.383058653,0.291784126,0.082188966,0.112641037,0.9987
LC-U1HE,11280.28123,10312.99934,89.36773878,0.416330381,0.234588705,0.102209952,0.020604956,0.9996
LC-7CV9,9412.918706,9241.769882,85.92605147,0.649256119,0.304563065,0.143212871,0.162351044,0.9997
LC-7DQ0,4514.814237,3764.23136,80.5066655,0.569642863,0.382320914,0.111558808,0.009415927,0.9994
LC-7F3J,8484.872804,7958.844634,85.72894924,0.200340538,0.373403069,0.162696035,0.103462886,0.9996
LC-7IJI,7082.386295,5506.695583,86.27679765,0.40944657,0.250030807,0.09734343,0.05026777,0.9983
LC-7KCR,7002.497003,7412.896749,81.44979056,0.02309478,0.531683205,0.15289774,0.028829988,0.9982
LC-7XC9,10531.41903,7226.829497,85.30183281,0.651366608,0.376148736,0.21819491,0.090423887,0.9998
LC-7YEZ,11328.26915,8102.175369,86.24530356,0.367916921,0.207835775,0.096289397,0.055436021,0.9995
LC-82GK,5021.31007,4309.734591,78.34892244,0.608151519,0.369037793,0.100200329,0.038065308,0.9991
LC-82WF,4176.947733,3674.3786,72.45388794,0.067742797,0.570352464,0.125620504,0.041327724,0.9979
LC-83BW,10823.4428,6385.147858,78.40541777,0.286694021,0.32229047,0.069730752,0.05627955,0.9979
LC-87D8,10884.84432,5892.160361,80.29449389,0.0412974,0.342240684,0.110081378,0.087696201,0.9993
LC-89CO,6651.31081,5379.205326,85.20822257,0.164502106,0.39710629,0.151761501,0.042087196,0.9985
