Name,T1,T2,incl,inclerror,q,qerror,r1,r2,R2
TIC 264464850,6010,5060,73.548,3.747,0.104,0.035,0.574,0.208,0.988
TIC 265334670,6856,5186,85.992,0.085,0.677,0.005,0.350,0.346,0.999
TIC 26539759,3743,3030,83.028,3.201,0.283,0.038,0.426,0.276,0.971
TIC 266769521,6097,5589,87.613,0.421,0.355,0.010,0.470,0.293,0.995
TIC 266770712,7196,5243,86.932,0.227,0.573,0.003,0.417,0.332,0.992
TIC 267574348,5064,4494,64.825,1.264,0.779,0.171,0.396,0.358,0.953
TIC 268297677,8111,5440,82.388,2.733,0.296,0.084,0.389,0.279,0.994
TIC 268772301,8612,6892,72.652,0.238,0.326,0.027,0.402,0.287,0.998
TIC 269238622,4842,4363,78.675,0.368,0.722,0.109,0.356,0.352,0.994
TIC 269505148,7073,5934,80.483,1.058,0.251,0.005,0.500,0.267,0.985
TIC 269562415,5090,4945,74.815,0.877,0.284,0.076,0.347,0.276,0.989
TIC 269891803,5232,3824,83.645,0.228,0.221,0.002,0.437,0.258,0.964
TIC 270665642,4875,4425,81.438,0.730,0.397,0.066,0.331,0.302,0.979
TIC 270742379,4443,4003,73.235,0.226,0.905,0.073,0.353,0.371,0.999
TIC 272622914,5314,4639,80.464,1.480,0.037,0.003,0.413,0.152,0.988
TIC 27307817,4707,3907,75.372,0.314,0.459,0.036,0.151,0.314,0.983
TIC 274551602,4801,3748,73.853,1.404,0.417,0.155,0.349,0.306,0.997
TIC 274599035,6256,4743,82.390,0.154,0.288,0.004,0.392,0.277,0.975
TIC 274758276,6363,4473,73.295,1.001,0.139,0.016,0.393,0.226,0.992
TIC 274969703,7420,5309,69.898,4.243,0.682,0.204,0.412,0.347,0.997
TIC 275537496,6856,5081,77.059,0.580,0.703,0.041,0.342,0.349,0.998
TIC 275575030,6824,5498,68.928,0.924,0.299,0.092,0.466,0.280,0.984
TIC 276839173,6598,5385,81.451,0.366,0.321,0.002,0.479,0.286,0.994
TIC 277565268,7267,5049,84.096,0.566,0.222,0.001,0.511,0.258,0.983
TIC 278068108,7866,5463,80.800,1.893,0.624,0.117,0.354,0.339,0.999
TIC 278895603,6558,5895,62.716,0.658,0.342,0.026,0.473,0.290,0.997
TIC 279161495,6372,5229,81.351,0.173,0.364,0.002,0.468,0.295,0.993
TIC 279224984,6106,5565,86.867,0.637,0.201,0.005,0.520,0.251,0.992
TIC 279484342,6436,4990,74.904,0.135,0.724,0.017,0.398,0.352,0.974
TIC 280371111,9075,5295,76.575,1.822,0.846,0.200,0.324,0.365,0.999
TIC 284364590,7018,5874,83.468,1.401,0.058,0.099,0.341,0.174,0.997
TIC 287095354,5079,4182,74.562,0.120,0.330,0.009,0.328,0.288,0.999
TIC 287175225,7018,5385,84.407,0.287,0.436,0.002,0.452,0.309,0.946
TIC 287256222,6718,4471,85.453,0.928,0.134,0.006,0.415,0.223,0.996
TIC 290032774,7771,5459,65.805,2.654,0.295,0.278,0.435,0.279,0.984
TIC 2938831,8334,6911,81.952,0.597,0.045,0.010,0.441,0.162,0.986
TIC 2939367,6801,6312,69.305,0.469,0.770,0.122,0.338,0.357,0.997
TIC 294396726,6456,5037,76.692,0.660,0.467,0.041,0.408,0.315,0.982
TIC 298541138,8005,5587,72.775,0.886,0.508,0.072,0.349,0.322,0.996
TIC 298720052,6363,5414,72.842,1.526,0.247,0.054,0.477,0.266,0.995
TIC 298734307,8013,5330,76.886,1.779,0.132,0.031,0.443,0.223,0.997
TIC 298757219,6857,5215,73.306,3.637,0.111,0.446,0.512,0.212,0.998
TIC 299156852,7534,5770,56.648,2.102,0.202,0.033,0.497,0.251,0.995
TIC 299644560,4921,4252,86.958,1.748,0.525,0.085,0.369,0.325,0.994
TIC 301347590,6813,5155,79.514,0.360,0.420,0.054,0.192,0.307,0.996
TIC 302531836,5223,5326,72.215,2.488,0.626,0.194,0.419,0.339,0.907
TIC 304803692,9569,6648,75.388,1.287,0.301,0.080,0.230,0.281,0.994
TIC 309178701,6231,5882,82.013,0.733,0.536,0.043,0.387,0.326,0.994
TIC 309402205,5541,5196,88.654,0.267,0.626,0.004,0.420,0.339,0.994
TIC 311103813,6485,4435,76.712,0.444,0.287,0.006,0.484,0.277,0.997
TIC 311271081,8999,7758,81.882,1.123,0.020,0.008,0.132,0.125,0.894
TIC 311945765,5858,4034,77.970,0.945,0.869,0.116,0.353,0.368,0.992
TIC 312626022,4897,3791,66.779,1.216,0.256,0.082,0.430,0.269,0.986
